path,size_bytes,type,deletion_reason,original_source,regenerable,complete_replacement_exists,referenced_by_report,recommended_action
official/organizer_drop/hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/DRIVER_R4.19.5001/__MACOSX,14276,APPLE_METADATA_DIRECTORY,"macOS resource-fork metadata only; 63 AppleDouble files","hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/DRIVER_R4.19.5001.zip",yes,yes,"manifest records pre-cleanup state",DELETE
official/organizer_drop/hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/extracted/DRIVER_R4.19.5001/DRIVER_R4.19.5001/.DS_Store,8196,APPLE_METADATA_FILE,"Finder directory metadata only","hardware/board_image/赛事专用卡-镜像开源资料/01-镜像工具/DRIVER_R4.19.5001.zip",yes,yes,"manifest records pre-cleanup state",DELETE
tmp/pdfs,76170509,GENERATED_RENDER_CACHE,"Poppler page renders and contact sheets used for completed visual audit; not source evidence","17 organizer PDFs retained under official/organizer_drop",yes,yes,"docs/sources/organizer_pdf_audit.md contains retained audit result",DELETE
tmp/videos,1205142,GENERATED_CONTACT_SHEETS,"ffmpeg contact sheet used for completed visual audit; not source media","9 organizer MP4 files retained under official/organizer_drop",yes,yes,"docs/sources/organizer_media_audit.md contains retained audit result",DELETE
build/organizer_project,34670119,FAILED_CONFIGURE_CACHE,"two legacy projects did not configure; directory contains failure diagnostics needed to reproduce audit","two extracted legacy source trees",yes,no,"docs/reports/organizer_project_actual_build_result.md",KEEP
build/zig-global-cache,104725359,TOOL_CACHE,"regenerable Zig cache; provenance across early Host attempts not isolated enough for automatic deletion","project-local Zig toolchain",yes,yes,"successful Host logs do not require cache",KEEP
build/zig-local-cache,1285961,TOOL_CACHE,"regenerable Zig cache; provenance across early Host attempts not isolated enough for automatic deletion","project-local Zig toolchain",yes,yes,"successful Host logs do not require cache",KEEP
tmp/shimo_1hXhe9FzipozjCuf.content,38421,TEMPORARY_PUBLIC_PAGE_CONTENT,"parsed into redacted structured attachment index; raw document includes unrelated public contact details","https://shimo.im/docs/1hXhe9FzipozjCuf",yes,yes,"docs/sources/shimo_attachment_index.json and shimo_material_index.md",DELETE
tmp/pdfs/shimo_learning_manual/AIC2025-智慧交通无人驾驶学习手册.pdf,260725,ANTI_HOTLINK_PLACEHOLDER_PNG,"not the claimed PDF; PNG states attachment must be accessed from original document","https://uploader.shimo.im/f/F6TI4QkL09wDEmk5.pdf",yes,yes,"docs/sources/shimo_missing_materials.md records hash/size and access result",DELETE
docs/sources/organizer_pdf_text/hardware_board_image_赛事专用卡-镜像开源资料_01-镜像工具_extracted_DRIVER_R4.19.5001___MACOSX_DRIVER_R4.19.5001_Doc_._Driver_Install_and_Uninstall_Guide.md,344,REGENERABLE_APPLEDOUBLE_AUDIT_TEXT,"stale empty extraction record for the deleted AppleDouble pseudo-PDF","DRIVER_R4.19.5001.zip AppleDouble metadata",yes,yes,"regenerated organizer_pdf_audit reports now cover 16 current PDFs with 0 failures",DELETE
